Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,partie,part
1,1,1,seulement,only
3,3,3,pensais,thought
4,4,5,demande,request
6,6,7,mois,month
7,7,8,frère,brother
8,8,10,car,because
9,9,11,mettre,to put
10,10,12,aucun,no
11,11,13,ville,city
13,13,15,devrait,should
14,14,16,bébé,baby
16,16,18,heures,hours
17,17,19,vont,will
18,18,20,pendant,while
19,19,21,revoir,meet again
21,21,23,parle,speak
22,22,24,compris,understood
23,23,25,savais,knew
24,24,26,étaient,were
26,26,28,voici,here is
27,27,29,pourrais,could
28,28,30,affaire,case
29,29,31,donner,give
30,30,32,type,type
31,31,34,donné,given
32,32,35,train,train
33,33,36,corps,body
37,37,41,dont,whose
38,38,42,premier,first
39,39,43,perdu,lost
40,40,44,main,hand
41,41,45,pouvoir,power
42,42,46,tiens,here
43,43,47,tellement,so much
47,47,52,venez,come
48,48,53,devant,in front of
50,50,55,minutes,minutes
51,51,57,mis,placed
52,52,58,belle,beautiful
53,54,60,aimerais,would like to
56,57,64,enfin,finally
57,58,65,espère,hope
58,59,66,eau,water
59,60,67,attendez,Wait
60,61,68,parti,left
62,63,70,boulot,job
63,64,72,dirait,would say
64,65,73,terre,Earth
66,67,75,donne,given
67,68,76,loin,far
68,69,77,fin,end
69,70,78,croire,believe
70,71,80,gros,large
73,74,84,jouer,to play
